                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.189,                 1.9543,                 1.3934,                0.99435,                0.99074,                0.99362,                0.77628,                0.85337,                0.74419,                 1.1534,              0.0033224,              0.0033224,              0.0033224
                      2,                0.89544,                0.94238,                  1.133,                0.84347,                0.92139,                0.94836,                0.76146,                0.76429,                0.81631,                 1.0782,              0.0066338,              0.0066338,              0.0066338
                      3,                0.89602,                0.76215,                 1.1356,                0.96611,                0.97318,                0.99274,                 0.7946,                0.79758,                0.53957,                 1.1266,              0.0099232,              0.0099232,              0.0099232
                      4,                0.89746,                 0.6587,                 1.1458,                0.98901,                0.98195,                0.99277,                0.83732,                0.67813,                0.40219,                 1.0466,               0.009901,               0.009901,               0.009901
                      5,                0.84109,                0.56537,                 1.1136,                0.99243,                0.99718,                0.99399,                0.84696,                0.65843,                0.35213,                 1.0438,               0.009868,               0.009868,               0.009868
                      6,                0.79597,                0.51111,                 1.0895,                0.98267,                0.98043,                 0.9944,                0.85113,                0.64114,                0.35972,                 1.0433,               0.009835,               0.009835,               0.009835
                      7,                0.76688,                0.47796,                 1.0735,                 0.9986,                0.99786,                  0.995,                0.85198,                0.65769,                0.32136,                 1.0443,               0.009802,               0.009802,               0.009802
                      8,                0.74338,                0.45819,                 1.0568,                 0.9997,                 0.9993,                  0.995,                0.87176,                0.59078,                0.28849,                0.97685,               0.009769,               0.009769,               0.009769
                      9,                0.72587,                 0.4454,                 1.0466,                0.99831,                 0.9993,                  0.995,                0.84874,                0.64893,                 0.2941,                 1.0212,               0.009736,               0.009736,               0.009736
                     10,                 0.7085,                0.42156,                 1.0404,                0.99617,                0.99605,                  0.995,                0.88214,                0.57756,                0.27513,                0.97124,               0.009703,               0.009703,               0.009703
                     11,                0.69766,                0.41498,                 1.0354,                0.99969,                      1,                  0.995,                0.86964,                0.56361,                0.28606,                0.95403,                0.00967,                0.00967,                0.00967
                     12,                0.68616,                0.41116,                 1.0263,                0.99987,                      1,                  0.995,                 0.9015,                0.52434,                0.25254,                0.95087,               0.009637,               0.009637,               0.009637
                     13,                0.67183,                0.39359,                 1.0187,                0.99966,                 0.9993,                  0.995,                  0.896,                0.53613,                0.25655,                0.96091,               0.009604,               0.009604,               0.009604
                     14,                0.66792,                0.38892,                 1.0148,                0.99949,                      1,                  0.995,                0.89491,                 0.5272,                0.25469,                0.95249,               0.009571,               0.009571,               0.009571
                     15,                 0.6462,                0.37716,                 1.0055,                0.99966,                      1,                  0.995,                0.90317,                  0.501,                 0.2374,                0.94789,               0.009538,               0.009538,               0.009538
                     16,                0.64772,                0.37712,                 1.0054,                0.99969,                      1,                  0.995,                0.90259,                0.52007,                0.24239,                 0.9553,               0.009505,               0.009505,               0.009505
                     17,                0.63588,                 0.3704,                  1.003,                0.99892,                0.99937,                  0.995,                0.90231,                0.50439,                0.23339,                0.92987,               0.009472,               0.009472,               0.009472
                     18,                0.62616,                0.36294,                0.99097,                0.99949,                      1,                  0.995,                0.90946,                0.48824,                 0.2451,                0.92622,               0.009439,               0.009439,               0.009439
                     19,                0.62156,                0.35726,                0.99568,                 0.9997,                 0.9993,                  0.995,                0.90154,                0.50559,                0.23704,                 0.9327,               0.009406,               0.009406,               0.009406
                     20,                0.61625,                0.35477,                0.99059,                0.99976,                      1,                  0.995,                0.90758,                0.50478,                0.23282,                0.94377,               0.009373,               0.009373,               0.009373
                     21,                0.60119,                0.34448,                0.98603,                0.99986,                0.99992,                  0.995,                0.91567,                 0.4891,                0.22311,                0.93667,                0.00934,                0.00934,                0.00934
                     22,                0.59969,                0.34508,                0.98627,                0.99911,                      1,                  0.995,                0.90457,                0.49298,                0.22356,                0.94208,               0.009307,               0.009307,               0.009307
                     23,                 0.5968,                0.34126,                0.98015,                0.99975,                      1,                  0.995,                 0.9089,                0.48432,                0.22106,                0.92612,               0.009274,               0.009274,               0.009274
                     24,                0.58144,                0.33148,                0.97284,                0.99982,                      1,                  0.995,                0.90207,                0.50743,                0.22127,                0.94383,               0.009241,               0.009241,               0.009241
                     25,                0.58638,                0.33442,                0.97391,                0.99984,                      1,                  0.995,                0.91528,                0.49004,                0.22446,                0.93735,               0.009208,               0.009208,               0.009208
                     26,                0.58095,                0.32914,                0.97276,                0.99978,                      1,                  0.995,                0.91274,                0.47459,                 0.2178,                0.92468,               0.009175,               0.009175,               0.009175
                     27,                0.58878,                 0.3363,                0.97819,                 0.9997,                      1,                  0.995,                0.91295,                0.47785,                0.21692,                0.93439,               0.009142,               0.009142,               0.009142
                     28,                0.58233,                0.32762,                0.97489,                0.99981,                      1,                  0.995,                0.91834,                0.47468,                0.21384,                0.92597,               0.009109,               0.009109,               0.009109
                     29,                0.57246,                0.32093,                0.97081,                0.99971,                0.99998,                  0.995,                0.91892,                0.47645,                 0.2101,                 0.9331,               0.009076,               0.009076,               0.009076
                     30,                 0.5665,                0.31794,                0.96724,                0.99915,                      1,                0.99496,                0.92696,                0.46096,                 0.2037,                0.92326,               0.009043,               0.009043,               0.009043
